%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on February 20, 2026
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %month    %year
   235.999     46.1100    236.04813     46.11981     0      0.03456      0.04170      0.02742        13.10         3.76  7     4  2016
   235.997     46.1144    236.04450     46.12844     0      0.03664      0.03893      0.03436        13.24         3.63  7     4  2016
   235.994     46.1183    236.04077     46.13706     0      0.04237      0.05383      0.03091        13.35         3.57  7     4  2016
   235.988     46.1261    236.03811     46.14214     0      0.03313      0.04541      0.02086        14.29         3.59  7     4  2016
   235.985     46.1299    236.03456     46.14984     0      0.04353      0.05149      0.03557        14.46         3.83  7     4  2016
   235.982     46.1337    236.03241     46.15409     0      0.04246      0.04894      0.03598        14.43         3.58  7     4  2016
   235.979     46.1374    236.03000     46.15826     0      0.03378      0.04159      0.02596        13.78         3.56  7     4  2016
   235.975     46.1409    236.02570     46.16675     0      0.04710      0.05392      0.04028        15.33         3.64  7     4  2016
   235.969     46.1479    236.02334     46.17093     0      0.03816      0.04654      0.02978        14.69         3.37  7     4  2016
   235.965     46.1516    236.02097     46.17512     0      0.03296      0.04264      0.02328        12.42         3.05  7     4  2016
   235.962     46.1551    236.01864     46.17932     0      0.05296      0.06496      0.04097        13.53         3.84  7     4  2016
   235.959     46.1586    236.01593     46.18341     0      0.03481      0.04896      0.02066        12.80         3.43  7     4  2016
   235.955     46.1623    236.01349     46.18757     0      0.03780      0.04426      0.03135        12.03         3.32  7     4  2016
   235.952     46.1655    236.00806     46.19574     0      0.03659      0.04292      0.03025        10.82         3.37  7     4  2016
   235.936     46.1766    235.99678     46.21194     0      0.04328      0.04790      0.03866        13.28         3.59  7     4  2016
   235.932     46.1797    235.99402     46.21601     0      0.04546      0.05012      0.04079        14.07         3.78  7     4  2016
   235.860     46.2891    235.92279     46.27503     0      0.03803      0.06291      0.01315         4.81         2.39 3A     4  2016
   235.869     46.3061    235.92271     46.28841     0      0.03908      0.05227      0.02590         4.67         2.74 3A     4  2016
   235.875     46.3197    235.92961     46.31623     0      0.04452      0.06477      0.02426         7.50         3.19 3A     4  2016
   235.875     46.3245    235.93044     46.32069     0      0.04102      0.06926      0.01278         7.64         3.28 3A     4  2016
   235.876     46.3294    235.93112     46.32515     0      0.02756      0.04908      0.00604         7.40         3.53 3A     4  2016
   235.878     46.3385    235.93167     46.32959     0      0.02948      0.04292      0.01605         7.64         3.64 3A     4  2016
   235.879     46.3433    235.93248     46.33854     0      0.03076      0.04419      0.01733         7.56         3.31 3A     4  2016
   235.879     46.3481    235.93350     46.34741     0      0.01899      0.03254      0.00543         7.54         4.04 3A     4  2016
   235.881     46.3578    235.93415     46.35182     0      0.01413      0.01954      0.00872         7.25         4.25 3A     4  2016
   235.882     46.3626    235.93432     46.35627     0      0.01564      0.02804      0.00324         6.97         2.92 3A     4  2016
   235.883     46.3673    235.93493     46.36075     0      0.02431      0.03750      0.01112         7.12         3.71 3A     4  2016
   235.884     46.3720    235.93505     46.36522     0      0.03108      0.03826      0.02390         7.75         3.29 3A     4  2016
   235.885     46.3768    235.93532     46.36964     0      0.03111      0.03727      0.02494         8.26         3.69 3A     4  2016
   235.886     46.3816    235.93575     46.38035     0      0.02528      0.03593      0.01464         8.69         3.98 3A     4  2016
   235.886     46.3865    235.93638     46.38745     0      0.02593      0.03416      0.01770         7.81         3.46 3A     4  2016
   235.886     46.3914    235.93691     46.39190     0      0.02667      0.03276      0.02059         9.24         4.12 3A     4  2016
   235.886     46.3962    235.93745     46.39637     0      0.03164      0.04255      0.02073         9.32         4.57 3A     4  2016
   235.886     46.4011    235.93738     46.40085     0      0.02944      0.03788      0.02100         8.86         4.01 3A     4  2016
   235.886     46.4060    235.93755     46.40532     0      0.02696      0.03456      0.01935         8.86         3.46 3A     4  2016
   235.885     46.4157    235.93792     46.41425     0      0.02592      0.03564      0.01620         8.55         2.95 3A     4  2016
   235.886     46.4205    235.93835     46.41869     0      0.03448      0.04195      0.02701         7.92         3.34 3A     4  2016
   235.885     46.4254    235.93859     46.42755     0      0.02981      0.03765      0.02197         8.64         3.48 3A     4  2016
   235.885     46.4351    235.93866     46.43202     0      0.02606      0.03458      0.01754         8.69         3.97 3A     4  2016
   235.886     46.4400    235.93896     46.43642     0      0.03120      0.04025      0.02216         8.36         3.71 3A     4  2016
   235.886     46.4449    235.93927     46.44626     0      0.02712      0.03609      0.01816         8.76         3.73 3A     4  2016
   235.886     46.4498    235.93950     46.44977     0      0.03733      0.04773      0.02692         9.10         3.77 3A     4  2016
   235.887     46.4595    235.93960     46.45872     0      0.03461      0.04088      0.02835         9.02         3.50 3A     4  2016
   235.887     46.4644    235.93953     46.46320     0      0.02799      0.03980      0.01618         8.30         3.49 3A     4  2016
   235.887     46.4693    235.93966     46.47212     0      0.03252      0.03870      0.02635         8.94         3.68 3A     4  2016
   235.886     46.4741    235.93964     46.47656     0      0.03141      0.03707      0.02576         8.96         3.51 3A     4  2016
   235.884     46.4787    235.93952     46.48554     0      0.02498      0.03396      0.01599         8.60         4.12 3A     4  2016
   235.883     46.4834    235.93958     46.49002     0      0.01143      0.02438      0.00000         8.40         3.02 3A     4  2016
   235.882     46.4882    235.93954     46.49449     0      0.03149      0.04784      0.01513        10.22         4.70 3A     4  2016
   235.879     46.5022    235.93914     46.50345     0      0.02563      0.03487      0.01638         8.80         3.35 3A     4  2016
   235.879     46.5071    235.93898     46.50789     0      0.02671      0.03677      0.01665         8.39         3.42 3A     4  2016
   235.879     46.5119    235.93876     46.51682     0      0.02802      0.03518      0.02086         9.54         3.38 3A     4  2016
   235.878     46.5167    235.93839     46.52130     0      0.02408      0.03084      0.01732         8.99         3.34 3A     4  2016
   235.877     46.5215    235.93848     46.52593     0      0.03077      0.03686      0.02469         8.66         3.46 3A     4  2016
   235.876     46.5263    235.93810     46.53017     0      0.02211      0.02869      0.01552         7.27         3.94 3A     4  2016
   235.876     46.5361    235.93797     46.53465     0      0.02981      0.03812      0.02151         8.28         3.34 3A     4  2016
