%USGS SPCMSC mean beach slope derived from lidar surveys from 2000-2013, dunes from 2010 and 2013 in LMSL, Version 1.1 Compiled 3/29/17 
%iso_lon %iso_lat %sl_lon %sl_lat %slope %95_up %95_low  dhigh   dlow month year
289.920 42.0692 289.912 42.0558 0.0948 0.1420 0.0476 9.2694 4.6558 11 2013
289.911 42.0730 289.907 42.0581 0.0983 0.1469 0.0496 9.5789 4.5673 11 2013
289.903 42.0765 289.896 42.0622 0.1103 0.2053 0.0153 9.8826 4.5436 11 2013
289.895 42.0797 289.891 42.0640 0.1079 0.2195 0.0010 10.4283 4.5152 11 2013
289.887 42.0825 289.880 42.0677 0.0822 0.1389 0.0255 13.0136 5.3192 11 2013
289.878 42.0850 289.875 42.0691 0.0893 0.1523 0.0264 13.5312 5.4546 11 2013
289.870 42.0871 289.864 42.0721 0.1021 0.1725 0.0318 13.2896 5.3276 11 2013
289.861 42.0888 289.858 42.0735 0.0945 0.1499 0.0392 12.8274 5.6966 11 2013
289.852 42.0900 289.847 42.0759 0.0935 0.1420 0.0451 12.7451 6.3829 11 2013
289.844 42.0908 289.842 42.0769 0.0980 0.1536 0.0425 11.7419 6.2915 11 2013
289.835 42.0912 289.833 42.0789 0.0862 0.1315 0.0409 11.4844 5.9460 11 2013
289.826 42.0910 289.827 42.0797 0.0863 0.1250 0.0475 12.3584 6.0359 11 2013
289.818 42.0903 289.815 42.0807 0.0850 0.1308 0.0391 13.3043 4.9468 11 2013
289.810 42.0890 289.809 42.0811 0.0781 0.1199 0.0362 12.8493 4.4118 11 2013
289.802 42.0870 289.804 42.0813 0.0680 0.0942 0.0419 12.5381 4.4142 11 2013
289.795 42.0845 289.792 42.0815 0.0614 0.0839 0.0388 12.0892 4.4447 11 2013
289.788 42.0813 289.786 42.0808 0.0636 0.0895 0.0377 12.4253 4.5331 11 2013
289.783 42.0775 289.782 42.0798 0.0588 0.0898 0.0278 12.2401 4.6191 11 2013
289.779 42.0731 289.777 42.0791 0.0461 0.0694 0.0227 10.8759 4.6882 11 2013
