%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on 20210120_1519
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %runup_usefrac    %month    %year
   242.630     33.1545    242.64330     33.16120     0      0.09503      0.16096      0.02910         5.87         2.39 6B 1.00     4  2016
   242.634     33.1512    242.64625     33.15741     0      0.06884      0.09915      0.03853         7.15         3.53 1B 1.00     4  2016
   242.637     33.1479    242.64843     33.15428     0      0.10818      0.25581      0.00000        14.24         3.86 6B 1.00     4  2016
   242.641     33.1443    242.65175     33.14967     0      0.05287      0.06373      0.04202        13.11         3.44 1B 1.00     4  2016
   242.644     33.1407    242.65463     33.14581     0      0.10473      0.31125      0.00000         7.95         3.88 6B 1.00     4  2016
   242.647     33.1368    242.65820     33.14247     0      0.14259      0.19411      0.09107         3.98         2.76 1B 1.00     4  2016
   242.652     33.1289    242.66233     33.13419     0      0.09360      0.13038      0.05682        11.40         2.82 6B 1.00     4  2016
   242.655     33.1248    242.66516     33.12939     0      0.11004      0.16353      0.05656        11.83         1.15 1B 0.89     4  2016
   242.658     33.1208    242.66920     33.12521     2          NaN          NaN          NaN        15.94        -0.13 3A 0.77     4  2016
   242.660     33.1168    242.67186     33.12129     0      0.09797      0.13010      0.06584         2.19         0.53 6A 1.00     4  2016
   242.663     33.1126    242.67403     33.11718     0      0.09278      0.12274      0.06283         7.55         2.53 6A 1.00     4  2016
   242.665     33.1083    242.67605     33.11207     0      0.08486      0.10171      0.06802         8.82         2.49 6A 1.00     4  2016
   242.667     33.1040    242.67789     33.10785     0      0.10468      0.15524      0.05412        18.04         2.34 6B 1.00     4  2016
   242.669     33.0996    242.68006     33.10270     0      0.10040      0.15961      0.04120        19.00         2.18 6A 1.00     4  2016
   242.671     33.0952    242.68188     33.09847     0      0.09271      0.13132      0.05410        13.63         2.37 6A 1.00     4  2016
   242.673     33.0907    242.68415     33.09346     0      0.08947      0.10853      0.07041        13.24         2.37 6A 1.00     4  2016
   242.674     33.0861    242.68580     33.08909     0      0.08253      0.20031      0.00000        12.11         5.82 6A 1.00     4  2016
   242.676     33.0816    242.68740     33.08494     0      0.06723      0.11846      0.01599         3.25         2.24 6A 1.00     4  2016
   242.678     33.0773    242.68870     33.07967     0      0.09546      0.15526      0.03566        17.60         1.85 6A 0.96     4  2016
   242.680     33.0728    242.69007     33.07527     0      0.09080      0.13484      0.04675        15.15         1.53 6A 1.00     4  2016
   242.682     33.0684    242.69189     33.07098     0      0.11529      0.15092      0.07966        20.12         2.16 1B 1.00     4  2016
   242.684     33.0639    242.69376     33.06682     0      0.10971      0.19144      0.02799         6.10         1.08 1B 0.96     4  2016
   242.686     33.0594    242.69564     33.06259     0      0.09756      0.12338      0.07173        26.94         2.56 6A 1.00     4  2016
   242.687     33.0549    242.69778     33.05747     0      0.10405      0.19362      0.01449        23.76         1.83 3A 1.00     4  2016
