%Beach characteristics derived from lidar surveys, compiled by USGS PCMSC on 20210120_1522
%iso_lon    %iso_lat    %sl_lon    %sl_lat    %dom_runup    %slope    %95_up  %95_low    %dhigh    %dlow    %esi    %runup_usefrac    %month    %year
   237.005     38.0595    237.01435     38.05648     0      0.04892      0.06523      0.03260        11.53         4.24 3A 1.00     4  2016
   237.004     38.0549    237.01257     38.05222     0      0.09671      0.15899      0.03443         9.67         1.55 3A 1.00     4  2016
   237.002     38.0504    237.01082     38.04795     0      0.09666      0.14809      0.04523        10.18         1.46 3A 1.00     4  2016
   236.999     38.0460    237.00855     38.04380     0      0.09143      0.18441      0.00000        13.42         6.63 3A 1.00     4  2016
   236.997     38.0417    237.00624     38.03866     0      0.09266      0.12060      0.06472        11.39         5.78 3A 1.00     4  2016
   236.995     38.0373    237.00415     38.03446     0      0.05531      0.06715      0.04348        15.48         4.70 3A 1.00     4  2016
   236.993     38.0328    237.00260     38.03018     0      0.06907      0.12405      0.01410        20.44         3.93 3A 1.00     4  2016
   236.991     38.0283    236.99997     38.02512     0      0.11657      0.17488      0.05825        14.65         5.57 3A 1.00     4  2016
   236.988     38.0239    236.99769     38.02104     0      0.06908      0.12065      0.01752         9.48         5.08 3A 1.00     4  2016
   236.986     38.0194    236.99598     38.01674     0      0.11610      0.19095      0.04125         7.84         4.24 3A 1.00     4  2016
   236.984     38.0149    236.99217     38.00924     0      0.07817      0.12331      0.03302        23.37         6.28 3A 1.00     4  2016
   236.982     38.0105    236.98993     38.00409     0      0.13511      0.21124      0.05899        29.87         6.14 3A 1.00     4  2016
   236.980     38.0062    236.98407     37.99963     2      2.02547          NaN          NaN        13.01        -0.00 1A 0.72     4  2016
   236.977     38.0022    236.97877     37.99852     2      2.67898          NaN          NaN        25.68         0.00 1A 0.69     4  2016
   236.974     37.9980    236.97734     37.99714     2      0.89084          NaN          NaN        15.51        -0.00 1A 0.72     4  2016
   236.974     37.9932    236.97595     37.99570     2      1.35204          NaN          NaN        27.34        -0.00 1A 0.67     4  2016
